scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,resource,unitBeatNo
DialogsTimbre,Concur,page7,7,bar6,6,12,4,60,4,72,72000,1000,73000,145,2,147,30,68,100,100,1,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Concur_page7,145
DialogsTimbre,Concur,page7,7,bar7,7,12,4,60,4,73,73000,1000,74000,147,2,149,68,123,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Concur_page7,147
DialogsTimbre,Concur,page7,7,bar7,7,12,4,60,4,74,74000,1000,75000,149,2,151,123,178,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Concur_page7,149
DialogsTimbre,Concur,page7,7,bar7,7,12,4,60,4,75,75000,1000,76000,151,2,153,178,233,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Concur_page7,151
DialogsTimbre,Concur,page7,7,bar7,7,12,4,60,4,76,76000,1000,77000,153,2,155,233,288,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Concur_page7,153
DialogsTimbre,Concur,page7,7,bar7,7,12,4,60,4,77,77000,1000,78000,155,2,157,288,343,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Concur_page7,155
DialogsTimbre,Concur,page7,7,bar7,7,12,4,60,4,78,78000,1000,79000,157,2,159,343,398,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Concur_page7,157
DialogsTimbre,Concur,page7,7,bar7,7,12,4,60,4,79,79000,1000,80000,159,2,161,398,453,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Concur_page7,159
DialogsTimbre,Concur,page7,7,bar7,7,12,4,60,4,80,80000,1000,81000,161,2,163,453,508,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Concur_page7,161
DialogsTimbre,Concur,page7,7,bar7,7,12,4,60,4,81,81000,1000,82000,163,2,165,508,563,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Concur_page7,163
DialogsTimbre,Concur,page7,7,bar7,7,12,4,60,4,82,82000,1000,83000,165,2,167,563,618,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Concur_page7,165
DialogsTimbre,Concur,page7,7,bar7,7,12,4,60,4,83,83000,1000,84000,167,2,169,618,673,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Concur_page7,167
DialogsTimbre,Concur,page7,7,bar7,7,12,4,60,4,84,84000,1000,85000,169,2,171,673,728,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Concur_page7,169
