scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,resource,unitBeatNo
DialogsTimbre,Dissent,page1,1,bar0,0,12,4,60,4,0,0,1000,1000,1,2,3,30,68,100,100,1,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Dissent_page1,1
DialogsTimbre,Dissent,page1,1,bar1,1,12,4,60,4,1,1000,1000,2000,3,2,5,68,123,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Dissent_page1,3
DialogsTimbre,Dissent,page1,1,bar1,1,12,4,60,4,2,2000,1000,3000,5,2,7,123,178,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Dissent_page1,5
DialogsTimbre,Dissent,page1,1,bar1,1,12,4,60,4,3,3000,1000,4000,7,2,9,178,233,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Dissent_page1,7
DialogsTimbre,Dissent,page1,1,bar1,1,12,4,60,4,4,4000,1000,5000,9,2,11,233,288,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Dissent_page1,9
DialogsTimbre,Dissent,page1,1,bar1,1,12,4,60,4,5,5000,1000,6000,11,2,13,288,343,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Dissent_page1,11
DialogsTimbre,Dissent,page1,1,bar1,1,12,4,60,4,6,6000,1000,7000,13,2,15,343,398,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Dissent_page1,13
DialogsTimbre,Dissent,page1,1,bar1,1,12,4,60,4,7,7000,1000,8000,15,2,17,398,453,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Dissent_page1,15
DialogsTimbre,Dissent,page1,1,bar1,1,12,4,60,4,8,8000,1000,9000,17,2,19,453,508,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Dissent_page1,17
DialogsTimbre,Dissent,page1,1,bar1,1,12,4,60,4,9,9000,1000,10000,19,2,21,508,563,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Dissent_page1,19
DialogsTimbre,Dissent,page1,1,bar1,1,12,4,60,4,10,10000,1000,11000,21,2,23,563,618,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Dissent_page1,21
DialogsTimbre,Dissent,page1,1,bar1,1,12,4,60,4,11,11000,1000,12000,23,2,25,618,673,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Dissent_page1,23
DialogsTimbre,Dissent,page1,1,bar1,1,12,4,60,4,12,12000,1000,13000,25,2,27,673,728,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Dissent_page1,25
