scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,resource,unitBeatNo
DialogsTimbre,Present,page8,8,bar7,7,12,4,60,4,84,84000,1000,85000,169,2,171,30,68,100,100,1,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Present_page8,169
DialogsTimbre,Present,page8,8,bar8,8,12,4,60,4,85,85000,1000,86000,171,2,173,68,123,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Present_page8,171
DialogsTimbre,Present,page8,8,bar8,8,12,4,60,4,86,86000,1000,87000,173,2,175,123,178,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Present_page8,173
DialogsTimbre,Present,page8,8,bar8,8,12,4,60,4,87,87000,1000,88000,175,2,177,178,233,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Present_page8,175
DialogsTimbre,Present,page8,8,bar8,8,12,4,60,4,88,88000,1000,89000,177,2,179,233,288,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Present_page8,177
DialogsTimbre,Present,page8,8,bar8,8,12,4,60,4,89,89000,1000,90000,179,2,181,288,343,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Present_page8,179
DialogsTimbre,Present,page8,8,bar8,8,12,4,60,4,90,90000,1000,91000,181,2,183,343,398,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Present_page8,181
DialogsTimbre,Present,page8,8,bar8,8,12,4,60,4,91,91000,1000,92000,183,2,185,398,453,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Present_page8,183
DialogsTimbre,Present,page8,8,bar8,8,12,4,60,4,92,92000,1000,93000,185,2,187,453,508,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Present_page8,185
DialogsTimbre,Present,page8,8,bar8,8,12,4,60,4,93,93000,1000,94000,187,2,189,508,563,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Present_page8,187
DialogsTimbre,Present,page8,8,bar8,8,12,4,60,4,94,94000,1000,95000,189,2,191,563,618,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Present_page8,189
DialogsTimbre,Present,page8,8,bar8,8,12,4,60,4,95,95000,1000,96000,191,2,193,618,673,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Present_page8,191
DialogsTimbre,Present,page8,8,bar8,8,12,4,60,4,96,96000,1000,97000,193,2,195,673,728,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/export/DialogsTimbre_Present_page8,193
