scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,resource,unitBeatNo
dialogs,Present,page5,5,bar4,4,12,4,80,4,48,36000,750,36750,97,2,99,30,68,100,100,1,/Users/slavko/MyHome/Music/scoreExport/Dialogs/dialogs_Present_page5,97
dialogs,Present,page5,5,bar5,5,12,4,80,4,49,36750,750,37500,99,2,101,68,123,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/dialogs_Present_page5,99
dialogs,Present,page5,5,bar5,5,12,4,80,4,50,37500,750,38250,101,2,103,123,178,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/dialogs_Present_page5,101
dialogs,Present,page5,5,bar5,5,12,4,80,4,51,38250,750,39000,103,2,105,178,233,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/dialogs_Present_page5,103
dialogs,Present,page5,5,bar5,5,12,4,80,4,52,39000,750,39750,105,2,107,233,288,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/dialogs_Present_page5,105
dialogs,Present,page5,5,bar5,5,12,4,80,4,53,39750,750,40500,107,2,109,288,343,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/dialogs_Present_page5,107
dialogs,Present,page5,5,bar5,5,12,4,80,4,54,40500,750,41250,109,2,111,343,398,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/dialogs_Present_page5,109
dialogs,Present,page5,5,bar5,5,12,4,80,4,55,41250,750,42000,111,2,113,398,453,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/dialogs_Present_page5,111
dialogs,Present,page5,5,bar5,5,12,4,80,4,56,42000,750,42750,113,2,115,453,508,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/dialogs_Present_page5,113
dialogs,Present,page5,5,bar5,5,12,4,80,4,57,42750,750,43500,115,2,117,508,563,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/dialogs_Present_page5,115
dialogs,Present,page5,5,bar5,5,12,4,80,4,58,43500,750,44250,117,2,119,563,618,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/dialogs_Present_page5,117
dialogs,Present,page5,5,bar5,5,12,4,80,4,59,44250,750,45000,119,2,121,618,673,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/dialogs_Present_page5,119
dialogs,Present,page5,5,bar5,5,12,4,80,4,60,45000,750,45750,121,2,123,673,728,100,100,0,/Users/slavko/MyHome/Music/scoreExport/Dialogs/dialogs_Present_page5,121
