scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,resource,unitBeatNo
Union Rose,AV,page33,33,bar32,32,16,4,100,4,512,320150,600,320750,1025,2,1027,30,68,100,100,1,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_AV_page33,1025
Union Rose,AV,page33,33,bar33,33,16,4,100,4,513,320750,600,321350,1027,2,1029,68,108,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_AV_page33,1027
Union Rose,AV,page33,33,bar33,33,16,4,100,4,514,321350,600,321950,1029,2,1031,108,148,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_AV_page33,1029
Union Rose,AV,page33,33,bar33,33,16,4,100,4,515,321950,600,322550,1031,2,1033,148,188,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_AV_page33,1031
Union Rose,AV,page33,33,bar33,33,16,4,100,4,516,322550,600,323150,1033,2,1035,188,228,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_AV_page33,1033
Union Rose,AV,page33,33,bar33,33,16,4,100,4,517,323150,600,323750,1035,2,1037,228,268,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_AV_page33,1035
Union Rose,AV,page33,33,bar33,33,16,4,100,4,518,323750,600,324350,1037,2,1039,268,308,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_AV_page33,1037
Union Rose,AV,page33,33,bar33,33,16,4,100,4,519,324350,600,324950,1039,2,1041,308,348,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_AV_page33,1039
Union Rose,AV,page33,33,bar33,33,16,4,100,4,520,324950,600,325550,1041,2,1043,348,388,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_AV_page33,1041
Union Rose,AV,page33,33,bar33,33,16,4,100,4,521,325550,600,326150,1043,2,1045,388,428,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_AV_page33,1043
