scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,resource,unitBeatNo
Union Rose,Cello,page3,3,bar2,2,16,4,80,4,32,24000,750,24750,65,2,67,30,68,100,100,1,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Cello_page3,65
Union Rose,Cello,page3,3,bar3,3,16,4,80,4,33,24750,750,25500,67,2,69,68,108,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Cello_page3,67
Union Rose,Cello,page3,3,bar3,3,16,4,80,4,34,25500,750,26250,69,2,71,108,148,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Cello_page3,69
Union Rose,Cello,page3,3,bar3,3,16,4,80,4,35,26250,750,27000,71,2,73,148,188,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Cello_page3,71
Union Rose,Cello,page3,3,bar3,3,16,4,80,4,36,27000,750,27750,73,2,75,188,228,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Cello_page3,73
Union Rose,Cello,page3,3,bar3,3,16,4,80,4,37,27750,750,28500,75,2,77,228,268,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Cello_page3,75
Union Rose,Cello,page3,3,bar3,3,16,4,80,4,38,28500,750,29250,77,2,79,268,308,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Cello_page3,77
Union Rose,Cello,page3,3,bar3,3,16,4,80,4,39,29250,750,30000,79,2,81,308,348,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Cello_page3,79
Union Rose,Cello,page3,3,bar3,3,16,4,80,4,40,30000,750,30750,81,2,83,348,388,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Cello_page3,81
Union Rose,Cello,page3,3,bar3,3,16,4,80,4,41,30750,750,31500,83,2,85,388,428,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Cello_page3,83
Union Rose,Cello,page3,3,bar3,3,16,4,80,4,42,31500,750,32250,85,2,87,428,468,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Cello_page3,85
Union Rose,Cello,page3,3,bar3,3,16,4,80,4,43,32250,750,33000,87,2,89,468,508,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Cello_page3,87
Union Rose,Cello,page3,3,bar3,3,16,4,80,4,44,33000,750,33750,89,2,91,508,548,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Cello_page3,89
Union Rose,Cello,page3,3,bar3,3,16,4,80,4,45,33750,750,34500,91,2,93,548,588,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Cello_page3,91
Union Rose,Cello,page3,3,bar3,3,16,4,80,4,46,34500,750,35250,93,2,95,588,628,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Cello_page3,93
Union Rose,Cello,page3,3,bar3,3,16,4,80,4,47,35250,750,36000,95,2,97,628,668,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Cello_page3,95
Union Rose,Cello,page3,3,bar3,3,16,4,80,4,48,36000,750,36750,97,2,99,668,708,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Cello_page3,97
