scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,resource,unitBeatNo
Union Rose,FullScore,page44,44,bar43,43,16,4,100,4,688,425750,600,426350,1377,2,1379,30,68,100,100,1,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_FullScore_page44,1377
Union Rose,FullScore,page44,44,bar44,44,16,4,100,4,689,426350,600,426950,1379,2,1381,68,108,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_FullScore_page44,1379
Union Rose,FullScore,page44,44,bar44,44,16,4,100,4,690,426950,600,427550,1381,2,1383,108,148,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_FullScore_page44,1381
Union Rose,FullScore,page44,44,bar44,44,16,4,100,4,691,427550,600,428150,1383,2,1385,148,188,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_FullScore_page44,1383
Union Rose,FullScore,page44,44,bar44,44,16,4,100,4,692,428150,600,428750,1385,2,1387,188,228,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_FullScore_page44,1385
Union Rose,FullScore,page44,44,bar44,44,16,4,100,4,693,428750,600,429350,1387,2,1389,228,268,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_FullScore_page44,1387
Union Rose,FullScore,page44,44,bar44,44,16,4,100,4,694,429350,600,429950,1389,2,1391,268,308,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_FullScore_page44,1389
Union Rose,FullScore,page44,44,bar44,44,16,4,100,4,695,429950,600,430550,1391,2,1393,308,348,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_FullScore_page44,1391
Union Rose,FullScore,page44,44,bar44,44,16,4,100,4,696,430550,600,431150,1393,2,1395,348,388,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_FullScore_page44,1393
Union Rose,FullScore,page44,44,bar44,44,16,4,100,4,697,431150,600,431750,1395,2,1397,388,428,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_FullScore_page44,1395
Union Rose,FullScore,page44,44,bar44,44,16,4,100,4,698,431750,600,432350,1397,2,1399,428,468,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_FullScore_page44,1397
Union Rose,FullScore,page44,44,bar44,44,16,4,100,4,699,432350,600,432950,1399,2,1401,468,508,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_FullScore_page44,1399
Union Rose,FullScore,page44,44,bar44,44,16,4,100,4,700,432950,600,433550,1401,2,1403,508,548,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_FullScore_page44,1401
Union Rose,FullScore,page44,44,bar44,44,16,4,100,4,701,433550,600,434150,1403,2,1405,548,588,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_FullScore_page44,1403
Union Rose,FullScore,page44,44,bar44,44,16,4,100,4,702,434150,600,434750,1405,2,1407,588,628,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_FullScore_page44,1405
Union Rose,FullScore,page44,44,bar44,44,16,4,100,4,703,434750,600,435350,1407,2,1409,628,668,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_FullScore_page44,1407
Union Rose,FullScore,page44,44,bar44,44,16,4,100,4,704,435350,600,435950,1409,2,1411,668,708,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_FullScore_page44,1409
