scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,resource,unitBeatNo
Union Rose,Violin2,page27,27,bar26,26,16,4,120,4,416,272250,500,272750,833,2,835,31,69,100,100,1,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Violin2_page27,833
Union Rose,Violin2,page27,27,bar27,27,16,4,120,4,417,272750,500,273250,835,2,837,69,109,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Violin2_page27,835
Union Rose,Violin2,page27,27,bar27,27,16,4,120,4,418,273250,500,273750,837,2,839,109,149,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Violin2_page27,837
Union Rose,Violin2,page27,27,bar27,27,16,4,120,4,419,273750,500,274250,839,2,841,149,189,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Violin2_page27,839
Union Rose,Violin2,page27,27,bar27,27,16,4,120,4,420,274250,500,274750,841,2,843,189,229,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Violin2_page27,841
Union Rose,Violin2,page27,27,bar27,27,16,4,120,4,421,274750,500,275250,843,2,845,229,269,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Violin2_page27,843
Union Rose,Violin2,page27,27,bar27,27,16,4,120,4,422,275250,500,275750,845,2,847,269,309,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Violin2_page27,845
Union Rose,Violin2,page27,27,bar27,27,16,4,120,4,423,275750,500,276250,847,2,849,309,349,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Violin2_page27,847
Union Rose,Violin2,page27,27,bar27,27,16,4,120,4,424,276250,500,276750,849,2,851,349,389,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Violin2_page27,849
Union Rose,Violin2,page27,27,bar27,27,16,4,120,4,425,276750,500,277250,851,2,853,389,429,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Violin2_page27,851
Union Rose,Violin2,page27,27,bar27,27,16,4,120,4,426,277250,500,277750,853,2,855,429,469,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Violin2_page27,853
Union Rose,Violin2,page27,27,bar27,27,16,4,120,4,427,277750,500,278250,855,2,857,469,509,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Violin2_page27,855
Union Rose,Violin2,page27,27,bar27,27,16,4,120,4,428,278250,500,278750,857,2,859,509,549,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Violin2_page27,857
Union Rose,Violin2,page27,27,bar27,27,16,4,120,4,429,278750,500,279250,859,2,861,549,589,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Violin2_page27,859
Union Rose,Violin2,page27,27,bar27,27,16,4,120,4,430,279250,500,279750,861,2,863,589,629,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Violin2_page27,861
Union Rose,Violin2,page27,27,bar27,27,16,4,120,4,431,279750,500,280250,863,2,865,629,669,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Violin2_page27,863
Union Rose,Violin2,page27,27,bar27,27,16,4,120,4,432,280250,500,280750,865,2,867,669,709,100,100,0,/Users/slavko/MyHome/Music/scoreExport/UnionRose/rsrc/Union_Rose_Violin2_page27,865
